Name                                      Type
  Year_Level                                SMALLINT
  Gender                                    VARCHAR (6)
  Number_of_people_with_bank_account        SMALLINT
  Family_Borrowing_Money                    VARCHAR (3)
  Investment_Bank                           VARCHAR (2)
  Investment_Bitcoin                        VARCHAR (2)
  Investment_Property                       VARCHAR (2)
  Trusting_Banks                            VARCHAR (2)
  Governement_Regulation                    VARCHAR (3)
  Solution                                  VARCHAR (11)
  Solution_Of_User                          VARCHAR (200)
